sleeper_id,name,team,pos,opp,proj,pass_att,pass_comp,pass_yd,pass_td,pass_int,rush_att,rush_yd,rush_td,rec,rec_yd,rec_td,fum_lost,two_pt,xpm,xpa,fgm_0_19,fgm_20_29,fgm_30_39,fgm_40_49,fgm_50p,sacks,defs_int,defs_fum_rec,defs_td,safety,blk_kick,ret_td,pts_allowed
4046,Patrick Mahomes,KC,QB,IND,21.77,36.82,23.3,256.7,2.08,0.68,4.97,27.74,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6904,Jalen Hurts,PHI,QB,@DAL,21.62,27.86,18.97,207.87,1.66,0.52,8.6,33.58,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11564,Drake Maye,NE,QB,@CIN,20.3,28.51,20.9,247.05,1.92,0.77,4.28,27.07,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4881,Lamar Jackson,BAL,QB,NYJ,21.09,28.08,17.34,214.86,1.85,0.49,6.68,39.79,0.39,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4984,Josh Allen,BUF,QB,@HOU,20.9,30.0,19.23,223.77,1.38,0.67,6.15,32.16,0.63,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8183,Brock Purdy,SF,QB,CAR,18.4,35.8,23.75,239.14,2.02,0.73,2.48,11.64,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3163,Jared Goff,DET,QB,NYG,18.33,33.77,24.19,267.84,2.08,0.73,0.94,2.77,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421,Matthew Stafford,LAR,QB,TB,17.44,34.99,21.9,254.73,2.02,0.59,0.69,2.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3257,Jacoby Brissett,ARI,QB,JAX,16.84,34.98,23.31,248.79,1.69,0.39,2.29,11.31,0.1,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11560,Caleb Williams,CHI,QB,PIT,17.01,30.67,19.28,231.19,1.45,0.78,3.61,23.25,0.3,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3294,Dak Prescott,DAL,QB,PHI,17.18,36.84,22.67,256.36,1.73,0.87,2.83,10.54,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4892,Baker Mayfield,TB,QB,@LAR,17.83,36.5,22.83,239.78,1.47,0.71,3.37,18.91,0.1,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12508,Jaxson Dart,NYG,QB,@DET,16.83,30.4,18.83,202.52,1.26,1.02,6.6,31.8,0.42,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6804,Jordan Love,GB,QB,MIN,17.53,32.4,22.2,225.87,1.89,0.6,3.35,11.86,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4943,Sam Darnold,SEA,QB,@TEN,17.7,27.67,20.73,235.91,1.82,0.61,1.78,5.94,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5870,Daniel Jones,IND,QB,@KC,16.81,33.24,20.6,241.18,1.21,0.82,5.62,20.68,0.31,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7523,Trevor Lawrence,JAX,QB,@ARI,16.85,31.02,20.12,219.44,1.43,0.69,3.38,15.85,0.42,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Joe Flacco,CIN,QB,NE,16.18,38.42,24.49,240.94,1.8,0.78,1.04,3.1,0.1,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
827,Tyrod Taylor,NYJ,QB,@BAL,14.63,29.23,19.62,178.8,1.04,0.79,8.56,43.36,0.1,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12545,Tyler Shough,NO,QB,ATL,13.92,31.19,18.87,226.96,1.25,0.76,2.77,13.59,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9228,Bryce Young,CAR,QB,@SF,14.92,31.0,18.16,209.71,1.41,0.87,1.62,7.44,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1373,Geno Smith,LV,QB,CLE,13.43,29.26,18.86,204.63,1.46,0.58,2.19,9.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7585,Davis Mills,HOU,QB,BUF,13.83,31.23,19.62,201.01,1.24,0.83,1.43,6.54,0.1,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4972,Mason Rudolph,PIT,QB,@CHI,12.74,30.12,20.97,219.4,1.43,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11565,J.J. McCarthy,MIN,QB,@GB,12.98,30.22,17.34,190.57,0.96,1.18,4.64,23.94,0.1,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1166,Kirk Cousins,ATL,QB,@NO,11.48,29.05,18.18,202.54,1.01,0.92,0.6,1.77,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12522,Cam Ward,TEN,QB,SEA,10.73,33.02,19.42,184.27,0.94,1.03,1.94,9.71,0.1,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12524,Shedeur Sanders,CLE,QB,@LV,10.29,27.44,16.14,157.75,0.88,0.89,2.72,14.89,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4034,Christian McCaffrey,SF,RB,CAR,26.73,0.0,0.0,0.0,0.0,0.0,17.79,71.15,0.73,5.92,63.58,0.52,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9221,Jahmyr Gibbs,DET,RB,NYG,23.91,0.0,0.0,0.0,0.0,0.0,11.62,66.98,0.82,4.51,52.65,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6813,Jonathan Taylor,IND,RB,@KC,20.61,0.0,0.0,0.0,0.0,0.0,20.32,98.84,0.76,2.94,23.47,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9509,Bijan Robinson,ATL,RB,@NO,19.89,0.0,0.0,0.0,0.0,0.0,17.48,81.96,0.31,4.45,48.86,0.19,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12529,TreVeyon Henderson,NE,RB,@CIN,18.87,0.0,0.0,0.0,0.0,0.0,18.73,76.1,0.73,3.17,26.2,0.21,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3198,Derrick Henry,BAL,RB,NYJ,18.61,0.0,0.0,0.0,0.0,0.0,18.83,98.46,1.01,1.35,8.08,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4866,Saquon Barkley,PHI,RB,@DAL,16.87,0.0,0.0,0.0,0.0,0.0,16.85,90.53,0.58,2.93,16.98,0.21,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8150,Kyren Williams,LAR,RB,TB,17.39,0.0,0.0,0.0,0.0,0.0,16.78,76.12,0.69,2.37,18.09,0.21,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9224,Chase Brown,CIN,RB,NE,16.06,0.0,0.0,0.0,0.0,0.0,15.1,61.97,0.4,4.81,35.96,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7021,Rico Dowdle,CAR,RB,@SF,16.14,0.0,0.0,0.0,0.0,0.0,19.73,81.65,0.42,2.59,20.06,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7543,Travis Etienne,JAX,RB,@ARI,15.99,0.0,0.0,0.0,0.0,0.0,15.05,73.31,0.5,2.85,20.36,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11435,Emanuel Wilson,GB,RB,MIN,15.89,0.0,0.0,0.0,0.0,0.0,16.33,68.65,0.58,2.9,19.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8138,James Cook,BUF,RB,@HOU,14.54,0.0,0.0,0.0,0.0,0.0,18.72,83.01,0.49,1.94,17.31,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7588,Javonte Williams,DAL,RB,PHI,15.84,0.0,0.0,0.0,0.0,0.0,16.46,77.19,0.63,2.22,11.72,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8155,Breece Hall,NYJ,RB,@BAL,15.29,0.0,0.0,0.0,0.0,0.0,17.44,70.58,0.4,2.5,24.56,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12527,Ashton Jeanty,LV,RB,CLE,15.06,0.0,0.0,0.0,0.0,0.0,15.88,56.46,0.68,2.72,16.53,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12512,Quinshon Judkins,CLE,RB,@LV,14.37,0.0,0.0,0.0,0.0,0.0,18.59,74.41,0.73,1.57,7.02,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8228,Jaylen Warren,PIT,RB,@CHI,12.76,0.0,0.0,0.0,0.0,0.0,14.09,55.87,0.42,2.54,23.24,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7567,Kenneth Gainwell,PIT,RB,@CHI,12.24,0.0,0.0,0.0,0.0,0.0,8.16,30.62,0.41,3.82,22.8,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8151,Kenneth Walker,SEA,RB,@TEN,12.78,0.0,0.0,0.0,0.0,0.0,14.58,69.63,0.38,1.54,11.57,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12474,Woody Marks,HOU,RB,BUF,11.65,0.0,0.0,0.0,0.0,0.0,15.49,62.21,0.29,1.48,17.02,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6790,D'Andre Swift,CHI,RB,PIT,12.35,0.0,0.0,0.0,0.0,0.0,13.61,58.84,0.41,1.99,16.96,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4199,Aaron Jones,MIN,RB,@GB,12.46,0.0,0.0,0.0,0.0,0.0,13.22,56.58,0.19,2.71,18.19,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5892,David Montgomery,DET,RB,NYG,12.35,0.0,0.0,0.0,0.0,0.0,13.86,59.08,0.49,1.61,12.37,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4035,Alvin Kamara,NO,RB,ATL,12.37,0.0,0.0,0.0,0.0,0.0,13.1,54.38,0.31,2.58,18.57,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9506,Sean Tucker,TB,RB,@LAR,11.42,0.0,0.0,0.0,0.0,0.0,11.64,54.11,0.3,2.03,23.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11655,Tyrone Tracy,NYG,RB,@DET,11.23,0.0,0.0,0.0,0.0,0.0,14.13,57.05,0.1,2.66,23.41,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8122,Zonovan Knight,ARI,RB,JAX,10.76,0.0,0.0,0.0,0.0,0.0,15.22,61.35,0.31,1.82,15.82,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4098,Kareem Hunt,KC,RB,IND,10.53,0.0,0.0,0.0,0.0,0.0,15.08,61.48,0.41,1.24,9.47,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8136,Rachaad White,TB,RB,@LAR,9.77,0.0,0.0,0.0,0.0,0.0,9.64,30.17,0.31,3.03,14.25,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9508,Tyjae Spears,TEN,RB,SEA,10.17,0.0,0.0,0.0,0.0,0.0,9.91,37.22,0.19,2.9,20.98,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
