sleeper_id,name,team,pos,opp,proj,pass_att,pass_comp,pass_yd,pass_td,pass_int,rush_att,rush_yd,rush_td,rec,rec_yd,rec_td,fum_lost,two_pt,xpm,xpa,fgm_0_19,fgm_20_29,fgm_30_39,fgm_40_49,fgm_50p,sacks,defs_int,defs_fum_rec,defs_td,safety,blk_kick,ret_td,pts_allowed
4984,Josh Allen,BUF,QB,CIN,23.32,27.13,17.8,236.59,1.72,0.72,6.03,29.85,0.7,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6904,Jalen Hurts,PHI,QB,@LAC,19.05,27.63,17.5,204.07,1.03,0.84,8.21,33.53,0.86,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3294,Dak Prescott,DAL,QB,@DET,19.14,36.98,23.31,275.33,2.14,0.94,3.38,9.98,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,Matthew Stafford,LAR,QB,@ARI,17.65,35.49,22.77,255.89,2.32,0.76,0.82,2.32,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3163,Jared Goff,DET,QB,DAL,17.54,37.56,23.11,260.86,2.07,0.71,1.23,3.43,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6770,Joe Burrow,CIN,QB,@BUF,18.97,35.93,24.2,253.42,1.93,0.39,2.44,12.92,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4046,Patrick Mahomes,KC,QB,HOU,18.59,36.1,22.65,239.44,1.55,0.77,4.87,25.68,0.3,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4881,Lamar Jackson,BAL,QB,PIT,18.39,28.86,19,224.36,1.55,0.69,4.96,28.88,0.1,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4892,Baker Mayfield,TB,QB,NO,16.75,32.82,21.71,219.76,1.66,0.73,3.91,23.79,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6804,Jordan Love,GB,QB,CHI,17.12,28.01,19.53,224.92,1.73,0.5,4.06,15.99,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11563,Bo Nix,DEN,QB,@LV,16.55,33.55,20.92,219.91,1.5,0.69,4.12,20.36,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7523,Trevor Lawrence,JAX,QB,IND,16.67,30.94,20.86,210.48,1.46,0.78,4.01,19.44,0.29,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3257,Jacoby Brissett,ARI,QB,LAR,16.31,38.99,23.98,250.61,1.48,0.89,4.15,19.41,0.1,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5870,Daniel Jones,IND,QB,@JAX,15.89,31,21.77,239.89,1.52,0.8,3.64,13.57,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4943,Sam Darnold,SEA,QB,@ATL,15.35,29.06,17.46,226.27,1.62,0.72,1.41,4.58,0.1,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2307,Marcus Mariota,WAS,QB,@MIN,16.14,29.55,18.35,210.39,1.24,0.8,4.62,27.42,0.1,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9758,C.J. Stroud,HOU,QB,@KC,15.76,34.78,23.01,233.25,1.2,0.81,3.67,18.07,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6797,Justin Herbert,LAC,QB,PHI,15.57,32.38,20.34,196.91,1.2,0.71,5.24,25.82,0.1,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11560,Caleb Williams,CHI,QB,@GB,13.94,32.15,17.8,189.63,1.15,0.89,4.08,24.35,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6768,Tua Tagovailoa,MIA,QB,@NYJ,14.41,31.54,20.26,223.56,1.55,0.69,1.28,3.93,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
